suite,test,totalCov,io,volume,exception,baseClass,rarfile,unpack,ppm,vm,decode,crypt,crc,unsigned,time,status
com.github.junrar.AbnormalFilesTest,"[3] abnormal/loop.rar, class com.github.junrar.exception.CorruptHeaderException",800,69,10,2,108,171,0,0,0,0,0,0,0,116,passed
com.github.junrar.ResourceReleasedTest,extractRar4FromInputStream(),695,76,10,0,181,146,190,52,14,22,0,4,0,11,passed
com.github.junrar.ArchiveTest,[4] audio/BoatModernEnglish-regular-unpack20.rar,420,29,8,0,161,147,367,52,14,18,0,4,0,56,passed
com.github.junrar.ArchiveTest,[5] audio/BoatModernEnglish-regular-unpack15-dos.rar,420,29,8,0,161,147,367,52,14,18,0,4,0,13,passed
com.github.junrar.ResourceReleasedTest,extractRar4FromFile(),648,29,8,0,185,146,190,52,14,22,0,4,0,12,error
com.github.junrar.ArchiveTest,[6] audio/BoatModernEnglish-regular-unpack15-win.rar,420,29,8,0,161,147,367,52,14,18,0,4,0,9,passed
com.github.junrar.JunrarTest,listContentsFromStream(),355,71,10,0,134,138,2,0,0,0,0,0,0,3,passed
com.github.junrar.ArchiveTest$Unicode,unicodeFileNamesAreDecodedProperly(),307,25,8,0,101,171,2,0,0,0,0,0,0,9,error
com.github.junrar.JunrarTest,listContents(),309,25,8,0,136,138,2,0,0,0,0,0,0,1,passed
com.github.junrar.AbnormalFilesTest,"[1] abnormal/corrupt-header.rar, class com.github.junrar.exception.CorruptHeaderException",800,69,10,2,108,171,0,0,0,0,0,0,0,29,passed
com.github.junrar.AbnormalFilesTest,"[2] abnormal/mainHeaderNull.rar, class com.github.junrar.exception.BadRarArchiveException",800,69,10,2,108,171,0,0,0,0,0,0,0,345,error
com.github.junrar.AbnormalFilesTest,"[3] abnormal/loop.rar, class com.github.junrar.exception.CorruptHeaderException",800,69,10,2,108,171,0,0,0,0,0,0,0,121,error
com.github.junrar.ResourceReleasedTest,extractRar5FromInputStream(),200,64,10,2,79,45,0,0,0,0,0,0,0,7,passed
com.github.junrar.RarVersionTest,extractRarV5(),179,64,10,2,76,45,0,0,0,0,0,0,0,2,passed
com.github.junrar.ArchiveTest$PasswordProtected,givenPasswordProtectedRar5File_whenCreatingArchive_thenUnsupportedRarV5ExceptionIsThrown(),182,64,10,2,61,45,0,0,0,0,0,0,0,237,error
com.github.junrar.ArchiveTest$PasswordProtected,givenEncryptedRar5File_whenCreatingArchive_thenUnsupportedRarV5ExceptionIsThrown(),182,64,10,2,61,45,0,0,0,0,0,0,0,20,failed
com.github.junrar.ArchiveTest$Solid,givenSolidRar5File_whenCreatingArchive_thenUnsupportedRarV5ExceptionIsThrown(),182,64,10,2,61,45,0,0,0,0,0,0,0,51,failed
com.github.junrar.ArchiveTest,testTikaDocs(),291,25,8,0,116,140,2,0,0,0,0,0,0,10,passed
com.github.junrar.ResourceReleasedTest,extractRar5FromString(),160,22,8,2,83,45,0,0,0,0,0,0,0,1830,passed
com.github.junrar.ResourceReleasedTest,extractRar5FromFile(),158,22,8,2,81,45,0,0,0,0,0,0,0,6,passed
com.github.junrar.LocalFolderExtractorTest,rarWithFileOutsideTarget_ShouldThrowException(),26,0,0,0,26,0,0,0,0,0,0,0,0,13,passed
com.github.junrar.LocalFolderExtractorTest,rarWithDirectoriesOutsideTarget_ShouldThrowException(),25,0,0,0,25,0,0,0,0,0,0,0,0,17,error
com.github.junrar.JunrarTest$DirectoryTraversal,ifIsFileInsteadOfDir_ThrowException(),20,0,0,0,20,0,0,0,0,0,0,0,0,18,error
com.github.junrar.JunrarTest$DirectoryTraversal,ifIsDirInsteadOfFile_ThrowException(),11,0,0,0,11,0,0,0,0,0,0,0,0,24,error
com.github.junrar.architecture.CodingRulesTest,no_access_to_standard_streams,0,0,0,0,0,0,0,0,0,0,0,0,0,19,error
com.github.junrar.architecture.CodingRulesTest,no_generic_exceptions,0,0,0,0,0,0,0,0,0,0,0,0,0,60,error
com.github.junrar.architecture.CodingRulesTest,no_jodatime,0,0,0,0,0,0,0,0,0,0,0,0,0,55,error
com.github.junrar.architecture.CodingRulesTest,no_java_util_logging,0,0,0,0,0,0,0,0,0,0,0,0,0,52,error
